Trading Pair         | 64-bit Hex Asset ID
----------------------------------------------
PURR/USDC            | 0x0000000000002710
HFUN/USDC            | 0x0000000000002711
LICK/USDC            | 0x0000000000002712
MANLET/USDC          | 0x0000000000002713
JEFF/USDC            | 0x0000000000002714
SIX/USDC             | 0x0000000000002715
WAGMI/USDC           | 0x0000000000002716
CAPPY/USDC           | 0x0000000000002717
POINTS/USDC          | 0x0000000000002718
TRUMP/USDC           | 0x0000000000002719
GMEOW/USDC           | 0x000000000000271a
PEPE/USDC            | 0x000000000000271b
XULIAN/USDC          | 0x000000000000271c
RUG/USDC             | 0x000000000000271d
ILIENS/USDC          | 0x000000000000271e
FUCKY/USDC           | 0x000000000000271f
CZ/USDC              | 0x0000000000002720
BAGS/USDC            | 0x0000000000002721
ANSEM/USDC           | 0x0000000000002722
TATE/USDC            | 0x0000000000002723
PUMP/USDC            | 0x0000000000002724
KOBE/USDC            | 0x0000000000002725
HAPPY/USDC           | 0x0000000000002726
SCHIZO/USDC          | 0x0000000000002727
SELL/USDC            | 0x0000000000002728
BIGBEN/USDC          | 0x0000000000002729
CATNIP/USDC          | 0x000000000000272a
HBOOST/USDC          | 0x000000000000272b
SUCKY/USDC           | 0x000000000000272c
GUP/USDC             | 0x000000000000272d
FARMED/USDC          | 0x000000000000272e
GPT/USDC             | 0x000000000000272f
PURRPS/USDC          | 0x0000000000002730
BID/USDC             | 0x0000000000002731
HODL/USDC            | 0x0000000000002732
VEGAS/USDC           | 0x0000000000002733
ASI/USDC             | 0x0000000000002734
VAPOR/USDC           | 0x0000000000002735
PANDA/USDC           | 0x0000000000002736
PILL/USDC            | 0x0000000000002737
ADHD/USDC            | 0x0000000000002738
FUN/USDC             | 0x0000000000002739
LADY/USDC            | 0x000000000000273a
MOG/USDC             | 0x000000000000273b
HPEPE/USDC           | 0x000000000000273c
JEET/USDC            | 0x000000000000273d
DROP/USDC            | 0x000000000000273e
MBAPPE/USDC          | 0x000000000000273f
TEST/USDC            | 0x0000000000002740
RAGE/USDC            | 0x0000000000002741
FRAC/USDC            | 0x0000000000002742
ATEHUN/USDC          | 0x0000000000002743
COZY/USDC            | 0x0000000000002744
ARI/USDC             | 0x0000000000002745
WASH/USDC            | 0x0000000000002746
ANT/USDC             | 0x0000000000002747
NFT/USDC             | 0x0000000000002748
RICH/USDC            | 0x0000000000002749
LORA/USDC            | 0x000000000000274a
CATBAL/USDC          | 0x000000000000274b
TJIF/USDC            | 0x000000000000274c
GUESS/USDC           | 0x000000000000274d
MAXI/USDC            | 0x000000000000274e
NMTD/USDC            | 0x000000000000274f
HPUMP/USDC           | 0x0000000000002750
PIGEON/USDC          | 0x0000000000002751
RISE/USDC            | 0x0000000000002752
CINDY/USDC           | 0x0000000000002753
CHINA/USDC           | 0x0000000000002754
STACK/USDC           | 0x0000000000002755
FRIED/USDC           | 0x0000000000002756
NOCEX/USDC           | 0x0000000000002758
RANK/USDC            | 0x0000000000002759
OMNIX/USDC           | 0x000000000000275a
RIP/USDC             | 0x000000000000275b
G/USDC               | 0x000000000000275c
BOZO/USDC            | 0x000000000000275d
SPH/USDC             | 0x000000000000275e
SHOE/USDC            | 0x000000000000275f
MONAD/USDC           | 0x0000000000002760
HOPE/USDC            | 0x0000000000002761
BUSSY/USDC           | 0x0000000000002762
FATCAT/USDC          | 0x0000000000002763
SHREK/USDC           | 0x0000000000002764
PIP/USDC             | 0x0000000000002765
LQNA/USDC            | 0x0000000000002766
NASDAQ/USDC          | 0x0000000000002767
YEETI/USDC           | 0x0000000000002768
SYLVI/USDC           | 0x0000000000002769
FEIT/USDC            | 0x000000000000276a
FRUDO/USDC           | 0x000000000000276b
VIZN/USDC            | 0x000000000000276c
STRICT/USDC          | 0x000000000000276d
AUTIST/USDC          | 0x000000000000276e
MAGA/USDC            | 0x000000000000276f
HGOD/USDC            | 0x0000000000002770
LIQUID/USDC          | 0x0000000000002771
EARTH/USDC           | 0x0000000000002773
UP/USDC              | 0x0000000000002774
NIGGO/USDC           | 0x0000000000002775
HOP/USDC             | 0x0000000000002776
LUCKY/USDC           | 0x0000000000002777
COPE/USDC            | 0x0000000000002778
HPYH/USDC            | 0x0000000000002779
YAP/USDC             | 0x000000000000277a
HYPE/USDC            | 0x000000000000277b
CHEF/USDC            | 0x000000000000277c
WOW/USDC             | 0x000000000000277d
STEEL/USDC           | 0x000000000000277e
RETARD/USDC          | 0x000000000000277f
MEOW/USDC            | 0x0000000000002780
NEIRO/USDC           | 0x0000000000002781
PEAR/USDC            | 0x0000000000002782
HOLD/USDC            | 0x0000000000002783
MUNCH/USDC           | 0x0000000000002784
BERA/USDC            | 0x0000000000002785
GENESY/USDC          | 0x0000000000002786
BUBZ/USDC            | 0x0000000000002787
PICKL/USDC           | 0x0000000000002788
SHEEP/USDC           | 0x0000000000002789
LAUNCH/USDC          | 0x000000000000278a
FARM/USDC            | 0x000000000000278b
FLASK/USDC           | 0x000000000000278c
VAULT/USDC           | 0x000000000000278d
CAT/USDC             | 0x000000000000278e
HYENA/USDC           | 0x000000000000278f
DEPIN/USDC           | 0x0000000000002790
MON/USDC             | 0x0000000000002791
BEATS/USDC           | 0x0000000000002792
ORA/USDC             | 0x0000000000002793
LIQD/USDC            | 0x0000000000002794
H/USDC               | 0x0000000000002795
STAR/USDC            | 0x0000000000002796
SENT/USDC            | 0x0000000000002797
SOLV/USDC            | 0x0000000000002798
FLY/USDC             | 0x0000000000002799
TIME/USDC            | 0x000000000000279a
SOVRN/USDC           | 0x000000000000279b
HWTR/USDC            | 0x000000000000279c
GOD/USDC             | 0x000000000000279d
UBTC/USDC            | 0x000000000000279e
HEAD/USDC            | 0x000000000000279f
VORTX/USDC           | 0x00000000000027a1
DEFIN/USDC           | 0x00000000000027a2
JPEG/USDC            | 0x00000000000027a3
WHYPI/USDC           | 0x00000000000027a4
USDE/USDC            | 0x00000000000027a6
UETH/USDC            | 0x00000000000027a7
USDXL/USDC           | 0x00000000000027a8
FEUSD/USDC           | 0x00000000000027a9
QUANT/USDC           | 0x00000000000027ab
USOL/USDC            | 0x00000000000027ac
RAT/USDC             | 0x00000000000027ad
TILT/USDC            | 0x00000000000027ae
TREND/USDC           | 0x00000000000027af
BUDDY/USDC           | 0x00000000000027b0
PRFI/USDC            | 0x00000000000027b1
UFART/USDC           | 0x00000000000027b2
FUND/USDC            | 0x00000000000027b3
DIABLO/USDC          | 0x00000000000027b4
PENIS/USDC           | 0x00000000000027b5
USDT0/USDC           | 0x00000000000027b6
PEG/USDC             | 0x00000000000027ba
USH/USDC             | 0x00000000000027bb
COOK/USDC            | 0x00000000000027bc
RUB/USDC             | 0x00000000000027bd
ANON/USDC            | 0x00000000000027be
FRCT/USDC            | 0x00000000000027bf
PERP/USDC            | 0x00000000000027c0
PURRO/USDC           | 0x00000000000027c1
USR/USDC             | 0x00000000000027c2
